phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7515452,https://fsplxgzpkv.z13.web.core.windows.net/?text=9ea771fb5f8fb18cf2d04e3c8b479e86,http://www.phishtank.com/phish_detail.php?phish_id=7515452,2022-05-13T15:36:00+00:00,yes,2022-05-13T15:52:12+00:00,yes,Other
7515444,https://secure-file-from-contact.cdc.ae/orange/d974f97a5d4b3a5/identity1.php?particuliers,http://www.phishtank.com/phish_detail.php?phish_id=7515444,2022-05-13T15:27:22+00:00,yes,2022-05-13T15:41:54+00:00,yes,Other
7515441,https://sitebuilder164239.dynadot.com/,http://www.phishtank.com/phish_detail.php?phish_id=7515441,2022-05-13T15:26:50+00:00,yes,2022-05-13T15:41:54+00:00,yes,Other
7515435,https://sites.google.com/view/appli-scur-obankps/accueil,http://www.phishtank.com/phish_detail.php?phish_id=7515435,2022-05-13T15:25:54+00:00,yes,2022-05-13T15:32:32+00:00,yes,Other
7515415,http://dapsacsecu.temp.swtest.ru/Orangebank-3V/fr/Authentication,http://www.phishtank.com/phish_detail.php?phish_id=7515415,2022-05-13T15:11:43+00:00,yes,2022-05-13T15:22:54+00:00,yes,Other
7515405,https://sites.google.com/view/taffac1/,http://www.phishtank.com/phish_detail.php?phish_id=7515405,2022-05-13T15:10:05+00:00,yes,2022-05-13T15:22:54+00:00,yes,Other
7515402,https://serviciopersonas-home.info/front/login/index.html,http://www.phishtank.com/phish_detail.php?phish_id=7515402,2022-05-13T15:09:00+00:00,yes,2022-05-13T15:10:23+00:00,yes,Other
7515391,http://vadropugne.temp.swtest.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7515391,2022-05-13T15:02:00+00:00,yes,2022-05-13T15:12:39+00:00,yes,Other
7515386,http://61456456044241.hyperphp.com/,http://www.phishtank.com/phish_detail.php?phish_id=7515386,2022-05-13T15:01:50+00:00,yes,2022-05-13T15:10:23+00:00,yes,Other
7515373,http://173.82.240.121/,http://www.phishtank.com/phish_detail.php?phish_id=7515373,2022-05-13T15:01:35+00:00,yes,2022-05-13T15:10:23+00:00,yes,Other
