qty_dot_url,qty_hyphen_url,length_url,qty_at_url,phishing
2,0,14,0,0
4,0,38,0,0
1,0,24,0,0
2,0,38,0,1
1,1,46,0,1
1,1,45,0,1
1,0,32,0,1
2,0,29,0,0
2,0,18,0,1
1,0,11,0,0
2,0,34,0,1
1,0,21,0,0
3,0,32,0,1
1,0,19,0,0
3,1,31,0,1
2,0,29,0,1
2,0,14,0,0
2,0,16,0,0
1,0,12,0,0
2,0,16,0,0
2,7,107,0,0
1,0,22,0,1
2,0,17,0,0
1,1,11,0,0
2,0,46,0,1
7,3,228,0,1
4,0,204,0,1
1,0,16,0,1
2,0,17,0,0
1,0,28,0,0
2,0,15,0,0
2,0,44,0,1
6,0,144,0,1
3,0,20,0,0
3,0,29,0,0
2,0,40,0,1
1,0,37,0,1
1,3,34,0,1
3,0,69,1,1
3,0,28,0,1
2,7,85,0,0
3,2,50,0,0
4,0,33,0,0
1,0,25,0,0
2,0,9,0,0
2,1,34,0,0
4,0,21,0,0
2,0,50,0,1
4,0,42,0,1
3,12,90,0,0
3,1,62,0,1
1,1,80,0,1
4,0,64,0,1
2,2,40,0,0
2,6,94,0,0
1,0,16,0,0
2,0,35,0,1
2,0,12,0,0
1,0,10,0,1
4,0,39,0,1
3,0,49,0,1
1,2,22,0,1
3,1,30,0,1
3,1,58,0,1
2,0,14,0,0
1,0,51,0,1
3,0,62,0,1
1,0,14,0,1
2,2,49,0,1
1,0,10,0,0
2,7,271,0,1
1,0,12,0,0
4,0,59,0,1
2,1,17,0,0
2,0,17,0,0
1,0,57,0,1
2,0,19,0,0
2,1,30,0,1
2,0,19,0,0
2,0,17,0,1
1,0,26,0,0
3,0,59,0,1
3,2,38,0,1
1,0,14,0,0
2,1,24,0,0
2,0,85,0,1
1,1,14,0,0
1,0,50,0,1
1,0,59,0,1
2,0,48,0,0
4,0,68,0,1
2,0,221,0,1
1,0,11,0,0
3,0,29,0,0
2,0,45,0,1
2,0,79,0,1
2,0,26,0,1
2,0,64,0,1
4,0,42,0,0
3,1,45,0,1
1,0,17,0,1
6,2,159,0,1
2,0,43,0,0
2,0,43,0,1
1,0,39,0,1
2,0,24,0,1
2,0,41,0,1
2,0,26,0,0
4,1,57,0,1
2,1,43,0,1
1,0,50,0,1
3,0,23,0,0
2,2,25,0,1
3,0,34,0,0
3,0,30,0,0
3,1,25,0,0
1,1,31,0,1
3,0,63,0,0
2,0,41,0,0
2,0,17,0,0
2,0,16,0,0
2,0,13,0,0
1,0,12,0,0
2,0,36,0,0
2,0,46,0,0
2,0,39,0,1
1,1,78,0,1
2,0,28,0,0
2,0,13,0,0
1,0,36,0,1
3,0,24,0,1
3,0,49,0,1
2,0,46,0,0
2,0,19,0,0
1,7,65,0,1
5,4,93,0,1
1,1,13,0,1
4,1,55,0,1
2,0,18,0,0
2,2,37,0,1
2,0,26,0,0
1,0,26,0,1
3,0,20,0,0
2,0,13,0,0
2,0,36,0,1
2,0,13,0,0
4,0,74,0,1
2,0,23,0,0
1,0,14,0,0
2,0,51,0,1
3,1,70,0,0
2,0,24,0,0
2,0,14,0,0
1,0,31,0,1
1,0,21,0,1
2,0,16,0,0
3,0,89,0,1
2,1,56,1,1
1,0,23,0,0
2,2,68,0,1
2,0,23,0,0
2,0,38,0,1
1,0,33,0,1
2,0,37,0,1
3,0,30,0,0
2,0,17,0,0
1,1,41,0,1
4,0,40,0,0
1,0,14,0,0
1,0,45,0,1
2,1,76,0,1
3,7,94,0,1
2,0,23,0,0
2,0,29,0,1
2,0,26,0,1
4,1,79,1,1
1,0,13,0,1
3,0,18,0,0
2,0,18,0,0
3,0,34,0,1
1,0,62,0,1
2,0,229,0,1
3,0,15,0,0
3,0,70,0,1
2,2,70,0,1
2,2,78,0,1
3,0,30,0,0
3,5,111,0,1
2,0,90,0,1
4,1,79,1,1
3,0,14,0,0
2,0,31,0,1
3,1,29,0,0
2,0,67,0,1
1,1,43,0,1
4,2,147,1,1
2,0,71,0,1
2,1,34,0,1
2,0,16,0,0
2,0,29,0,0
2,0,64,0,1
5,1,171,0,1
1,1,84,0,1
2,1,21,0,0
2,2,33,0,0
3,0,34,0,0
1,0,7,0,0
2,1,29,0,1
6,0,115,0,1
3,1,53,0,1
2,0,14,0,0
7,0,145,0,1
1,0,11,0,1
1,0,13,0,1
2,0,19,0,0
2,0,13,0,0
2,1,88,0,1
4,0,29,0,0
2,0,32,0,1
1,0,12,0,0
2,0,10,0,0
2,1,46,0,1
3,0,49,0,1
2,0,15,0,0
2,0,46,0,0
2,0,14,0,0
2,0,23,0,0
2,1,72,0,1
4,0,21,0,0
1,0,12,0,0
1,1,19,0,1
2,0,19,0,0
2,1,31,0,1
1,0,22,0,0
3,0,60,0,1
1,2,36,0,1
1,1,39,0,1
2,0,43,0,1
2,0,16,0,0
2,1,24,0,0
2,0,28,0,0
1,1,35,0,1
1,0,12,0,0
1,0,31,0,1
2,0,18,0,0
1,0,16,0,0
2,0,43,0,1
3,0,49,0,1
2,0,22,0,1
1,1,37,0,1
2,0,20,0,0
2,0,45,0,1
2,2,160,0,1
2,0,33,0,1
2,0,192,0,1
2,0,50,0,0
6,0,69,0,0
1,0,15,0,0
1,0,67,0,1
1,0,10,0,0
1,1,35,0,1
2,1,73,1,1
3,2,49,0,1
3,0,36,0,0
2,0,21,0,0
3,0,110,0,1
3,0,46,0,1
4,0,30,0,1
2,0,19,0,0
3,0,19,0,1
1,0,19,0,0
3,0,19,0,0
3,1,87,0,1
1,0,13,0,1
1,0,11,0,0
3,0,41,0,1
2,1,67,0,1
2,1,36,0,1
3,8,149,0,1
4,0,32,0,0
2,0,17,0,0
6,2,244,1,1
2,0,18,0,0
1,0,11,0,0
4,0,104,1,1
1,0,12,0,0
3,0,180,0,1
3,0,17,0,0
2,0,18,0,0
2,0,31,0,1
1,0,9,0,0
4,0,19,0,0
3,0,31,0,0
1,0,22,0,0
3,2,60,0,1
1,0,12,0,0
2,0,13,0,0
1,1,73,0,1
2,0,15,0,0
2,0,14,0,0
2,1,73,0,1
1,0,36,0,1
1,0,12,0,0
2,0,67,0,1
2,0,37,0,1
3,0,47,0,1
4,0,20,0,0
2,0,44,0,1
2,0,39,0,1
3,1,67,0,1
1,0,11,0,1
2,0,30,0,1
1,1,19,0,0
1,0,9,0,0
2,0,25,0,0
5,0,54,0,0
4,6,75,0,1
2,0,238,0,1
2,0,17,0,0
2,1,124,0,1
2,1,52,0,1
1,0,12,0,0
2,0,13,0,0
2,0,19,0,0
4,1,90,1,1
3,1,102,0,1
4,0,28,0,0
2,0,30,0,1
1,0,24,0,1
2,0,20,0,0
2,0,14,0,0
2,0,47,0,0
3,3,69,0,1
2,1,52,0,1
1,0,13,0,0
2,0,29,0,1
1,0,32,0,1
2,10,122,0,0
2,0,12,0,0
2,0,22,0,0
2,1,31,0,1
2,1,72,0,1
2,0,14,0,0
4,0,54,1,1
2,0,16,0,0
1,0,12,0,0
1,0,21,0,0
6,3,69,0,1
2,0,38,0,1
2,1,22,0,0
3,0,16,0,0
3,0,70,0,1
4,0,57,0,1
1,0,13,0,0
3,1,85,0,1
2,0,31,0,0
3,0,76,1,1
2,0,19,0,0
2,0,47,0,0
1,0,49,0,1
2,0,50,0,0
1,0,10,0,1
2,0,67,0,1
2,0,14,0,0
2,0,14,0,0
2,0,72,0,1
1,0,19,0,1
2,0,77,0,1
3,0,21,0,0
2,1,17,0,0
2,1,24,0,0
1,0,22,0,1
1,0,45,0,1
2,0,42,0,1
1,0,10,0,1
1,0,25,0,0
2,0,36,0,1
2,0,62,0,1
2,0,18,0,0
2,0,95,0,1
4,0,31,0,0
1,0,53,0,1
2,0,14,0,0
2,0,42,0,1
1,0,24,0,1
2,0,15,0,0
2,1,97,0,1
2,0,96,0,1
2,0,46,0,0
1,1,61,0,1
6,0,104,1,1
3,1,47,0,1
2,0,47,0,1
1,0,39,0,1
2,2,80,0,1
2,0,18,0,0
3,0,38,0,1
1,0,9,0,0
2,0,35,0,0
1,0,12,0,0
1,0,10,0,0
2,0,34,0,1
2,0,21,0,0
3,0,34,0,0
1,1,12,0,0
3,1,69,0,1
1,0,16,0,0
2,1,72,0,1
2,0,13,0,0
3,0,45,0,1
2,0,29,0,0
2,0,26,0,0
2,1,31,0,1
1,0,16,0,1
3,1,31,0,1
1,1,55,0,1
2,0,63,0,1
1,0,39,0,1
1,0,11,0,0
2,0,59,0,1
2,0,50,0,1
1,0,31,0,1
3,0,49,0,1
1,3,23,0,1
3,0,30,0,0
2,1,239,0,1
2,0,16,0,0
2,0,40,0,1
4,1,65,0,1
2,0,17,0,0
4,0,43,0,1
3,1,73,0,1
3,4,78,0,1
2,2,83,0,1
2,1,16,0,0
2,1,63,0,1
2,1,17,0,0
1,0,19,0,0
2,0,48,0,1
2,1,77,0,1
1,0,61,0,1
3,0,17,0,0
3,0,72,1,1
2,0,44,0,1
6,0,144,0,1
2,0,17,0,0
3,2,99,1,1
1,1,69,0,1
2,0,17,0,0
6,0,135,0,1
3,0,35,0,1
4,0,44,0,1
2,0,23,0,1
3,0,199,0,1
2,0,13,0,0
3,1,109,0,1
1,0,11,0,0
5,1,97,1,1
2,0,21,0,0
5,0,205,1,1
2,5,72,0,0
3,0,71,0,1
2,0,19,0,0
5,0,35,0,1
2,0,19,0,0
2,0,43,0,1
1,1,20,0,0
2,0,10,0,0
2,1,28,0,0
3,0,27,0,1
2,1,17,0,0
2,1,337,0,1
3,0,139,0,1
1,0,64,0,1
3,0,18,0,0
2,7,82,0,1
2,0,14,0,0
2,1,42,0,1
2,0,15,0,0
2,0,25,0,1
2,0,13,0,0
2,0,20,0,0
2,0,22,0,1
1,0,16,0,0
2,0,32,0,1
3,0,15,0,0
2,0,31,0,0
1,0,8,0,0
1,0,19,0,0
2,0,20,0,0
2,0,63,0,1
2,0,36,0,1
3,0,43,0,0
4,0,23,0,1
3,1,37,0,1
2,1,44,0,1
1,1,28,0,1
2,0,11,0,0
4,0,28,0,0
3,0,49,0,0
3,1,67,0,1
1,0,16,0,0
2,1,39,0,0
2,0,12,0,0
2,1,54,0,1
2,0,44,0,1
2,0,320,0,1
2,0,21,0,1
2,3,138,0,1
2,2,26,0,0
2,0,48,0,1
3,1,59,0,1
7,2,195,1,1
4,1,78,1,1
2,0,37,0,1
2,0,17,0,0
2,0,18,0,0
1,0,31,0,1
4,0,57,0,1
1,1,72,0,1
2,0,124,0,1
1,0,15,0,1
1,2,27,0,1
2,0,43,0,1
1,0,19,0,0
2,0,44,0,1
2,0,20,0,0
1,0,6,0,0
1,0,13,0,0
2,0,10,0,0
2,0,20,0,0
2,1,64,0,1
3,0,15,0,0
3,0,16,0,0
2,1,18,0,0
5,0,70,0,1
4,1,76,0,1
2,0,42,0,1
1,0,13,0,0
1,1,16,0,1
1,1,21,0,1
3,0,39,0,1
4,2,46,0,1
5,1,68,0,1
2,0,20,0,0
3,0,62,0,1
3,1,57,0,1
1,1,20,0,1
1,0,16,0,0
2,0,15,0,0
1,1,45,0,1
2,0,39,0,1
1,0,6,0,0
2,5,296,0,1
2,0,16,0,0
2,0,61,0,1
2,0,65,0,1
3,0,55,0,1
2,0,17,0,0
1,0,19,0,1
6,3,110,1,1
2,0,29,0,1
2,0,23,0,0
2,8,82,0,0
2,0,25,0,0
2,0,10,0,0
2,0,29,0,0
2,0,11,0,0
2,0,23,0,1
2,0,12,0,0
3,1,45,0,1
4,0,78,1,1
2,0,20,0,1
2,0,19,0,1
2,0,13,0,0
3,0,78,0,1
2,0,19,0,0
3,0,36,0,0
4,0,31,0,0
1,1,72,0,1
2,0,16,0,0
2,0,20,0,0
2,0,24,0,1
3,0,18,0,0
1,0,37,0,1
2,0,22,0,1
2,0,17,0,0
2,2,38,0,0
2,1,52,0,1
2,0,15,0,0
2,0,46,0,0
2,0,19,0,1
2,0,41,0,0
2,2,43,0,1
3,0,33,0,1
2,1,43,0,1
2,0,51,0,1
2,0,19,0,1
1,2,91,0,1
2,1,35,0,1
12,3,284,0,1
4,0,20,0,0
1,0,21,0,0
3,0,66,0,1
1,0,10,0,0
3,0,16,0,0
1,0,13,0,0
2,1,57,0,1
5,1,55,0,1
2,0,22,0,1
1,0,12,0,0
2,0,41,0,1
2,0,47,0,0
2,0,41,0,1
2,0,13,0,0
1,1,19,0,0
2,0,39,0,1
1,0,68,0,1
3,1,114,1,1
1,0,10,0,0
3,0,50,1,1
2,0,37,0,1
1,0,18,0,1
2,0,34,0,1
3,1,64,0,1
3,0,18,0,1
1,0,30,0,1
2,0,29,0,1
2,0,33,0,0
2,1,65,0,0
3,0,67,0,1
2,0,16,0,0
2,0,15,0,0
5,4,164,0,1
3,0,136,0,1
1,0,11,0,0
3,0,20,0,0
2,0,23,0,0
1,0,10,0,1
2,0,38,0,1
2,0,61,0,1
4,1,68,0,1
3,0,16,0,0
2,0,25,0,1
2,0,17,0,0
2,0,51,0,1
14,1,326,1,1
2,1,64,0,1
2,0,38,0,0
2,0,16,0,0
1,1,40,0,1
1,0,13,0,0
2,0,221,0,1
3,0,21,0,0
2,0,43,0,1
1,1,15,0,1
2,0,23,0,1
2,0,16,0,0
2,0,21,0,0
2,0,17,0,0
2,1,26,0,0
2,0,17,0,0
1,0,29,0,1
2,0,13,0,0
2,0,16,0,0
2,0,39,0,1
4,0,79,1,1
3,5,49,0,1
2,0,16,0,0
2,0,51,0,1
1,0,12,0,0
3,0,22,0,0
6,0,77,1,1
2,0,25,0,0
1,1,20,0,1
2,1,26,0,1
2,0,19,0,0
2,0,29,0,1
1,0,13,0,1
2,0,25,0,0
1,10,84,0,0
3,0,17,0,0
1,0,22,0,0
3,0,15,0,0
14,1,239,0,1
2,1,25,0,1
2,1,17,0,0
2,0,48,0,1
2,0,14,0,0
1,0,26,0,1
1,1,126,0,1
1,0,11,0,1
3,1,46,0,1
1,0,11,0,0
3,0,32,0,0
1,0,55,0,1
2,0,20,0,1
2,0,17,0,0
3,0,33,0,1
2,0,13,0,0
2,0,13,0,0
1,0,16,0,0
2,0,25,0,0
3,1,84,0,1
2,0,22,0,0
2,0,16,0,0
1,0,22,0,1
10,5,161,0,1
3,1,60,0,1
5,1,164,0,1
2,0,20,0,0
2,1,17,0,0
3,0,23,0,1
1,0,14,0,1
2,0,18,0,0
2,0,18,0,0
2,0,15,0,0
1,0,12,0,1
1,0,11,0,0
2,0,34,0,1
1,2,55,0,1
3,1,27,0,0
1,0,19,0,1
2,0,26,0,1
4,0,38,0,1
2,0,32,0,0
1,0,30,0,1
2,1,25,0,0
2,1,25,0,0
1,0,62,0,1
1,0,14,0,1
2,0,16,0,0
2,0,23,0,0
2,0,53,0,1
2,0,30,0,0
2,0,26,0,0
4,1,101,1,1
2,0,13,0,0
4,2,108,1,1
2,0,14,0,0
5,3,274,0,1
2,0,21,0,0
3,0,37,0,1
4,0,91,1,1
3,0,106,0,1
1,1,13,0,1
2,0,83,0,1
2,0,17,0,0
2,0,47,0,1
3,0,16,0,0
4,0,22,0,0
2,1,52,0,1
3,0,20,0,0
2,1,77,0,1
5,0,42,0,0
1,3,76,0,1
3,0,38,0,1
2,0,37,0,1
1,0,17,0,1
4,2,185,1,1
2,0,26,0,1
1,0,50,0,1
2,0,17,0,0
2,0,19,0,0
4,0,136,0,1
1,0,13,0,1
3,0,60,1,1
2,0,9,0,0
2,0,30,0,1
2,3,33,0,1
2,0,22,0,0
2,0,24,0,1
2,0,35,0,0
3,0,27,0,0
3,0,19,0,0
2,0,15,0,0
2,0,12,0,0
2,0,18,0,0
2,0,35,0,0
2,0,16,0,0
2,3,30,0,1
2,1,25,0,0
2,0,12,0,0
4,0,36,0,1
2,0,16,0,0
1,2,28,0,1
1,0,64,0,1
3,2,55,1,1
2,0,11,0,0
2,0,87,0,1
1,1,23,0,1
2,0,42,0,1
2,0,39,0,1
2,1,45,0,1
2,0,14,0,0
3,0,20,0,0
3,1,140,1,1
3,0,53,0,1
2,0,29,0,0
5,1,105,1,1
1,0,78,0,1
2,11,100,0,0
3,1,50,0,1
2,1,36,0,1
2,0,46,0,0
